Gondi Sentence	Telugu Translation
నిమ్మె ఇత్త అచ్చొర్ సామన్ నన్న సీంతొన్.	నీవు కోరినన్ని వస్తువులు నేను ఇస్తాను.
నన్న ఇత్త అద్ కామ్ కియ పరంతొన్.	నేను అనుకున్నా పని చెయ్యగలను.
బాబల్ ఇత్త కాడ్కి నన్ కామ్ కీతొన్.	నాన్న చెప్పినందుకు నేను పని చేసాను.
ఇద్ బద్ నార్ ఆంద్.	ఇది ఏ ఊరు.
ఇన్కె మిరట్ ఇదెన్ లాసిన్ వాతిట్ కీ.	ఇప్పుడు మీరు దీనికొరకు వచ్చారా.
ఇదెన్ మోడిత నాకున్ ఆంగ్డె యేచ్చి సీమ్.	ఇలాంటి చొక్కా నాకు కొని పెట్టు.
ఇన్కె ఇన్కెన్ పి.ఓ. వాసి సొత్తొర్.	ఇప్పుడే పి. ఓ. వచ్చి పోయారు.
ఇన్కెడ కంప్యూటర్ జమన.	ప్రస్తుతం నడిచేది కంప్యూటర్ యుగం.
ఇన్కెడల్ నన్ డగుర్ అనల్ కామ్ కీంతొన్.	ఇప్పటి నుండి పెద్దగా అయే వరకు పని చేస్తాను.
రేల్ గాడి ఇంజన్ తె తాకంత.	రైలు బండి ఇంజనుతో నడుస్తుంది.
ఇంద్కె వేరి నిమ్మె బతల్ కామ్ కీతి.	ఇప్పటి వరకు నీవు ఏ పని చేసావు.
మామల్ ఇంద్కెన్ వాసి సొత్తొర్.	మామయ్య ఇప్పుడే వచ్చి వెళ్లాడు.
బరికియ్వక్ ఉంది ఇంద్రజాల్.	మంత్రం చెయ్యడం ఒక ఇంద్రజాలం.
పీర్- వాసి సొడితెకె యెద్దితె ఇంద్రబాన్ దిసంత.	వర్షం వచ్చి తగ్గితే ఆకాశంలో ఇంద్రధనుస్సు కనబడుతుంది.
వెహ్చి ఇందుస్వల్ మంత.	చెప్పి అనిపించడం ఉంది.
మాకున్ ఇంకెన్ వాంతొన్ ఇంజెర్ వెహ్చి సొంజెర్ మంతొర్.	మాకు ఇప్పుడే వస్తాను అని చెప్పి వెలుతున్నాడు.
మావొర్ మామల్ ఆందుర్ ఇంజెర్ నాక్ టావ.	మా మామయ్య అని నాకు తెలుసు.
వోర్ డిక్సనరి కామ్ చొకొట్ కీతొర్ ఇంజెర్ ఇనమ్ సీతెర్.	అతను డిక్షనరీ పని మంచిగా చేసారు అని బహుమానం ఇచ్చారు.
రాము ఇమన్ దార్ మాయ్‌నల్.	రాము నిజాయితీ గల వ్యక్తి.
గనపతి ఇమన్ దారితె కామ్ కీంతొర్.	గణపతి నిజాయితీగా పని చేస్తున్నాడు.
ఇయెండ్ నన్న మర్మింగ్ ఆంతొన్.	ఈ సంవత్సరము నేను పెళ్లి చేసుకుంటాను.
నన్నసీతంగ్ పుస్తక్ చొకొట్ ఇర్ర.	నేను ఇచ్చిన పుస్తకాలు జాగ్రత్తగా ఉంచు.
మర్క రస్స కీనెకె ఇలజి వాట్సి తిత్తెకె రస్స చొక్కొట్ ఆంత.	మామిడి రసం చేసేటప్పుడు ఏలకులు వేసి రసం తింటే రుచిగా ఉంటుంది.
పేన్క్‌నంగ్ పూజంగ్ కీనెకె ఇసబ్నె కియన.	దేవుని పూజ ఆసక్తితో చెయ్యాలి.
ఇన్కె సమ్దియ్ బాసన్క్ ఇస్టిల్ తంగ్ మంతంగ్.	ఇప్పుడు అన్ని పాత్రలూ స్టీలువే.
ఉంది కుమ్నగ ఆక్రి కుమున్ ఇస్రు గుండి ఇంతెర్.	వంశంలోని చివరి ఇంటి పేరు గల వారిని ఇస్రు గుండి అంటారు.
బాబల్ కొత్తంగ్ ఇసొబ్ కీసెర్ మంతొర్.	నాన్న డబ్బులు లెక్క పెట్టుతున్నాడు.
ఇసోబ్నె కొత్తంగ్ లెక్సి ఇర్రన.	జాగ్రత్తగా డబ్బులు లెక్క పెట్టాలి.
వేన సూడ్సి ఇహిన్ కియన.	ఇతన్ని చూసి ఈవిధంగా చెయ్యి.
నిమ్మె ఇహిన్ బహన్ కామ్ కీతి.	నీవు ఇలా ఏలా పని కానిచ్చావు.
మొసొడగ సేమెడ్ వాతెకె సేమెడ్ ఈచంతెర్.	ముక్కులో చీమిడి వస్తే చీమిడి తీస్తారు.
ఈతంగ్ రొహ్క్ మావ నాటె గిర్ దొహన.	ఇటువంటి ఇండ్లు మా ఊరిలో కూడా కట్టాలి.
మాయ్‌నలిర్ తిన్వల్ ఈతల్ చిల్లల్ పన్నె ఆయో.	మానవులు తినే ఆకుపచ్చ కప్ప కాదు.
